Data;PACK_QTY;PACK_LABEL_ID;PACK_SHPR
27/12/2012;1;MA002001400532;P01
27/12/2012;1;MA002002900533;P01
27/12/2012;1;MA002002600534;P01
28/12/2012;1;MA002001300535;P01
28/12/2012;1;MA002003400536;P01
28/12/2012;1;MA002000800537;P01
31/12/2012;1;MA002002700538;P01
31/12/2012;1;MA002001000539;P01
31/12/2012;1;MA002001300540;P01
31/12/2012;1;MA002002700541;P01
02/01/2013;1;MA003000200001;P01
02/01/2013;1;MA003002200002;P01
02/01/2013;1;MA003001200003;P01
02/01/2013;1;MA003002300004;P01
02/01/2013;1;MA003000300005;P01
03/01/2013;1;MA003002400006;P01
03/01/2013;1;MA003003100007;P01
03/01/2013;1;MA003001100008;P01
04/01/2013;1;MA003001000009;P01
07/01/2013;1;MA003001600010;P01
07/01/2013;1;MA003001200011;P01
07/01/2013;1;MA003000700012;P01
07/01/2013;1;MA003003500013;P01
07/01/2013;1;MA003003500014;P01
07/01/2013;1;MA003003600015;P01
08/01/2013;1;MA003002600016;P01
08/01/2013;1;MA003002400017;P01
09/01/2013;1;MA003002800018;P01
09/01/2013;1;MA003001800019;P01
10/01/2013;2;MA003000500020;P01
10/01/2013;1;MA003002100021;P01
10/01/2013;1;MA003003100022;P01
14/01/2013;1;MA003002600023;P01
14/01/2013;1;MA003003100024;P01
14/01/2013;1;MA003002400025;P01
14/01/2013;1;MA003003500026;P01
14/01/2013;1;MA003001700027;P01
15/01/2013;1;MA003001000028;P01
15/01/2013;1;MA003003600029;P01
16/01/2013;1;MA003001200030;P01
16/01/2013;1;MA003000500031;P01
17/01/2013;1;MA003003500032;P01
17/01/2013;2;MA003003400033;P01
18/01/2013;1;MA003000600034;P01
18/01/2013;1;MA003000100035;P01
21/01/2013;1;MA003000300036;P01
21/01/2013;1;MA003000800037;P01
21/01/2013;1;MA003000500038;P01
22/01/2013;1;MA003003300039;P01
22/01/2013;1;MA003001600040;P01
22/01/2013;1;MA003003200041;P01
22/01/2013;1;MA003003400042;P01
23/01/2013;1;MA003001100043;P01
25/01/2013;1;MA003002100044;P01
25/01/2013;1;MA003002600045;P01
28/01/2013;1;MA003000500046;P01
28/01/2013;1;MA003000500047;P01
28/01/2013;1;MA003002500048;P01
28/01/2013;1;MA003001100049;P01
28/01/2013;1;MA003003600050;P01
28/01/2013;1;MA003001200051;P01
28/01/2013;1;MA003000800052;P01
29/01/2013;1;MA003003700053;P01
30/01/2013;2;MA003001400054;P01
30/01/2013;1;MA003002000055;P01
01/02/2013;1;MA003003700056;P01
01/02/2013;1;MA003003600057;P01
01/02/2013;1;MA003002300058;P01
04/02/2013;1;MA003000700059;P01
04/02/2013;1;MA003001300060;P01
04/02/2013;1;MA003001100061;P01
04/02/2013;1;MA003000900062;P01
04/02/2013;1;MA003002000063;P01
04/02/2013;1;MA003001800064;P01
04/02/2013;1;MA003003300065;P01
05/02/2013;1;MA003002300066;P01
06/02/2013;1;MA003003200067;P01
06/02/2013;1;MA003000300068;P01
07/02/2013;1;MA003001500069;P01
07/02/2013;1;MA003003300070;P01
07/02/2013;1;MA003001200071;P01
08/02/2013;1;MA003002600072;P01
08/02/2013;1;MA003002400073;P01
08/02/2013;1;MA003000900074;P01
11/02/2013;1;MA003002600075;P01
11/02/2013;1;MA003001100076;P01
11/02/2013;1;MA003003500077;P01
11/02/2013;1;MA003002500078;P01
11/02/2013;1;MA003003200079;P01
11/02/2013;1;MA003003600080;P01
11/02/2013;1;MA003002300081;P01
11/02/2013;4;MA003003300082;P01
12/02/2013;1;MA003001400083;P01
12/02/2013;1;MA003000300084;P01
12/02/2013;1;MA003001600085;P01
14/02/2013;1;MA003001200086;P01
14/02/2013;1;MA003002300087;P01
15/02/2013;1;MA003001900088;P01
18/02/2013;1;MA003000600089;P01
